baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	2292.17603937167	0.613375301339854	0.375514711589916	1.63342548882531	0.102379539905868	0.617227727581512
AT1G01020	2957.80341281312	-0.126328311901298	0.163994388106248	-0.770320944271903	0.441109535435369	0.885893056235673
AT1G03987	6.61534345020878	-0.728807398390394	0.933515715744051	-0.780712510886337	0.43497160065017	NA
AT1G01030	331.583041576025	-0.0298540276246118	0.194023066413755	-0.153868445522596	0.877713464594191	0.985397353355711
AT1G01040	9764.77202188894	-0.25562031082416	0.192948559344757	-1.324810673333	0.185233953851978	0.7314512212077
AT1G01046	127.614315365225	-0.402978657895235	0.502322968712319	-0.802230204460392	0.422419807462107	0.880258578466522
AT1G01050	8601.8670651361	0.0223945983121555	0.104300472346559	0.214712338384671	0.829991602289116	0.978928144662584
AT1G01060	562.357743413208	-0.203559335746956	0.322890388475148	-0.630428600579492	0.5284142033286	0.917369974217821
AT1G01070	1123.48912932362	0.340062804747146	0.188683620142045	1.80229107588215	0.0714996218508218	0.537364961274019
AT1G01080	5258.23498872401	0.181303760822379	0.265639583669304	0.682517862428535	0.494911551851926	0.905665965486232
AT1G01090	16202.1048054568	-0.13208362635993	0.139252628705054	-0.948518010670315	0.342865808300049	0.846462227510641
AT1G01100	22752.8421353101	-0.233423152970406	0.247305160604742	-0.943866890604345	0.345237673242219	0.847361259097888
AT1G01110	648.762457204187	-0.270574080717323	0.249996727545526	-1.08231049011651	0.279114586301615	0.809609098023364
AT1G01120	7640.3137803085	0.641787592128238	0.41341117517157	1.55241955387851	0.120561867693414	0.648216089537218
AT1G01130	1008.60905416096	0.41195880356549	0.234943421393888	1.75343834324619	0.0795267942228191	0.559345239141083
AT1G01140	9957.17267459015	0.705960606137033	0.269208659502132	2.6223547468444	0.00873244827085627	0.224246134189025
AT1G01150	55.9315760650869	-0.568788312406636	0.515159902281801	-1.10410051303935	0.269549538758915	0.804428112016429
AT1G01160	3669.02704075802	0.112935999151294	0.117960735846936	0.957403311707359	0.338363727559076	0.844144323109092
AT1G04007	110.486184332351	0.0850974796287624	0.213742086591809	0.39813160330598	0.690533179770272	0.956075560599267
AT1G01170	2657.78279598009	0.212000198172518	0.233702664704383	0.907136418152025	0.364334661672137	0.854683567483824
